Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
83,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 16u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,248,248167,248167,4194304,256,0,0,12,24,101312,0x7fc11282da00,0x7fc01219c400,524288,18784131,2103834740,477233010541292,477233010491311,477233012040438,477233012059530
84,"void benchmark_func<double, 256, 8u, 16u>(double, double*) [clone .kd]",0,0,251,248167,248167,4194304,256,0,0,12,24,102784,0x7fc11282d880,0x7fc01219c440,524288,19221173,2152797772,477233012081409,477233012040438,477233013595964,477233013634046
85,"void benchmark_func<__half2, 256, 8u, 16u>(__half2, __half2*) [clone .kd]",0,0,254,248167,248167,4194304,256,0,0,12,24,104256,0x7fc11282d700,0x7fc01219c480,524288,29291725,3280596272,477233013648095,477233013595964,477233015112931,477233015149193
86,"void benchmark_func<int, 256, 8u, 16u>(int, int*) [clone .kd]",0,0,257,248167,248167,4194304,256,0,0,12,24,106240,0x7fc114adc580,0x7fc01219c4c0,524288,30208853,3383337156,477233015162443,477233015112931,477233016645897,477233016690470
87,"void benchmark_func<float, 256, 8u, 17u>(float, float*) [clone .kd]",0,0,260,248167,248167,4194304,256,0,0,12,24,107712,0x7fc114adc400,0x7fc01219c500,524288,30320153,3395832176,477233016712260,477233016645897,477233018174704,477233018188348
88,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 17u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,263,248167,248167,4194304,256,0,0,16,24,109440,0x7fc114adc280,0x7fc01219c540,524288,18583897,2081373596,477233018213567,477233018174704,477233019721431,477233019733705
89,"void benchmark_func<double, 256, 8u, 17u>(double, double*) [clone .kd]",0,0,266,248167,248167,4194304,256,0,0,16,24,111168,0x7fc114adc100,0x7fc01219c580,524288,19622623,2197702548,477233019762584,477233019721431,477233021284957,477233021323050
90,"void benchmark_func<__half2, 256, 8u, 17u>(__half2, __half2*) [clone .kd]",0,0,269,248167,248167,4194304,256,0,0,8,24,112896,0x7fc11282df80,0x7fc01219c5c0,524288,29684600,3324662660,477233021336410,477233021284957,477233022804644,477233022842948
91,"void benchmark_func<int, 256, 8u, 17u>(int, int*) [clone .kd]",0,0,272,248167,248167,4194304,256,0,0,12,24,115136,0x7fc11282de00,0x7fc01219c600,524288,29880607,3346574008,477233022856877,477233022804644,477233024344811,477233024384145
92,"void benchmark_func<float, 256, 8u, 18u>(float, float*) [clone .kd]",0,0,275,248167,248167,4194304,256,0,0,12,24,116608,0x7fc11282dc80,0x7fc01219c640,524288,29716453,3328315200,477233024405964,477233024344811,477233025866577,477233025904922
